proper,ra,dec,dist,mag,absmag,x,y,z,lum
Sol,0.000000,0.000000,0.0000,-26.700,4.850,0.000005,0.000000,0.000000,1
Alpheratz,0.139791,29.090432,29.7442,2.070,-0.297,25.974572,0.951042,14.461264,114.49855346901883
Caph,0.152887,59.149780,16.7842,2.280,1.155,8.600014,0.344589,14.409503,30.06076302628229
Algenib,0.220598,15.183596,120.0480,2.830,-2.567,115.664183,6.687324,31.442127,926.4031007363994
Ankaa,0.438056,-42.305981,25.9740,2.400,0.327,19.083654,2.198282,-17.483284,64.44659847416881
Shedir,0.675116,56.537331,69.9790,2.240,-1.985,37.984817,6.784483,58.379619,542.0008904016238
Diphda,0.726490,-17.986605,29.5334,2.040,-0.312,27.583638,5.310463,-9.119792,116.09138701261821
96 G. Psc,0.806382,5.280615,7.4549,5.740,6.378,7.258368,1.555495,0.686093,0.24479356661960658
Van Maanen's Star,0.819416,5.388610,4.2626,12.370,14.222,4.146957,0.903519,0.400348,0.00017831997722329162
Cih,0.945143,60.716740,168.3502,2.150,-3.981,79.836717,20.168018,146.837047,3407.218616593573
Mirach,1.162194,35.620558,60.5327,2.070,-1.840,46.946371,14.741814,35.255129,474.2419852602448
Ruchbah,1.430216,60.235283,30.4785,2.660,0.240,14.082378,5.534130,26.457567,69.82324040771711
Achernar,1.628556,-57.236757,42.7533,0.450,-2.705,21.065573,9.568417,-35.951967,1051.9618738232234
Sheratan,1.910668,20.808035,17.9856,2.640,1.365,14.752622,8.063457,6.389157,24.774220576332848
Almaak,2.064984,42.329725,120.4819,2.100,-3.305,76.368059,45.840864,81.131974,1828.1002161427427
Hamal,2.119555,23.462423,20.1776,2.010,0.486,15.731986,9.751722,8.033610,55.6672798150948
Mira,2.322442,-2.977643,91.6590,6.470,1.659,75.131148,52.288786,-4.761374,18.897310544316767
Polaris,2.529750,89.264109,132.6260,1.970,-3.643,1.343100,1.047629,132.614909,2495.743794831569
268 G. Cet,2.601357,6.886870,7.1803,5.790,6.509,5.538462,4.488223,0.861013,0.21697015538008513
Acamar,2.971023,-40.304672,49.4315,2.880,-0.590,26.857490,26.453029,-31.974932,149.96848355023724
Menkar,3.037992,4.089734,76.3942,2.540,-1.875,53.342561,54.414384,5.448321,489.77881936844614
Algol,3.136148,40.955648,27.5710,2.090,-0.112,14.189428,15.238793,18.072114,96.56060985415496
82 G. Eri,3.331944,-43.069784,6.0434,4.260,5.354,2.839238,3.381499,-4.127499,0.6286370884130494
Mirphak,3.405378,49.861180,155.2795,1.790,-4.166,62.885098,77.880689,118.708804,4040.173353730007
Alcyone,3.791410,24.105137,123.6094,2.850,-2.610,61.664507,94.489136,50.483636,963.8290236239706
Zaurak,3.967157,-13.508515,62.3441,2.970,-1.004,30.760217,52.235828,-14.563080,219.5836500973188
Aldebaran,4.598677,16.509301,20.4332,0.870,-0.682,7.027220,18.287604,5.806661,163.23000728189953
Hassaleh,4.949894,33.166090,151.2859,2.690,-3.209,34.378539,121.884168,82.763748,1673.4009068393123
Cursa,5.130829,-5.086446,27.3973,2.780,0.591,6.156194,26.585876,-2.429001,50.53589947531675
Kapteyn's Star,5.194169,-45.018417,3.9114,8.860,10.898,0.578997,2.705174,-2.768220,0.0038089037649813515
Rigel,5.242298,-8.201640,264.5503,0.180,-6.933,51.601106,256.709905,-37.740051,51665.42425669497
Capella,5.278150,45.997991,13.1234,0.080,-0.510,1.712633,8.954439,9.440007,139.3156802945302
Bellatrix,5.418851,6.349702,77.3994,1.640,-2.804,11.658576,76.036136,8.560120,1152.3913771994878
Alnath,5.438198,28.607450,41.0509,1.650,-1.417,5.281578,35.650400,19.655456,321.21809339879854
Nihal,5.470756,-20.759441,49.1642,2.810,-0.648,6.349344,45.531613,-17.425966,158.1976398601154
Mintaka,5.533445,-0.299092,212.3142,2.250,-4.385,25.868117,210.729667,-1.108306,4943.106869868354
Arneb,5.545504,-17.822289,680.2721,2.580,-6.583,76.877195,643.047236,-208.208000,37428.29122408052
Hatsya,5.590551,-5.909901,714.2857,2.750,-6.519,76.014147,706.411475,-73.546040,35285.8025828527
